threads throughput p50_us p95_us p99_us p999_us
2 1.72529 3475.58 4056.54 4102.50 4110.34
4 1.01348 3617.05 6641.67 8373.11 11386.9
8 0.657595 2533.73 5319.97 6400.76 9136.91
16 0.370747 2245.93 4728.33 6368.31 8143.45
32 0.260072 1692.81 3090.72 3840.74 5243.73
