threads throughput p50_us p95_us p99_us p999_us
2 1.485096 697.84 761.37 778.58 790.16
4 1.027646 480.59 499.29 517.23 589.55
8 0.688325 35.76 1347.26 1489.92 9491.71
16 0.456575 4.88 2244.80 2568.01 2856.11
32 0.281950 4.42 2500.86 3174.77 4188.13
