threads throughput p50_us p95_us p99_us p999_us
2 2.183527 1796.40 2526.97 2665.21 2751.00
4 1.705078 239.48 738.48 866.38 933.66
8 0.500515 23.54 118.36 805.36 1042.01
16 0.246055 19.88 81.13 178.55 365.60
32 0.107883 43.31 159.53 227.04 290.23
