threads throughput p50_us p95_us p99_us p999_us
2 12.347594 218.28 264.04 277.51 279.32
4 4.811555 753.41 841.84 1216.40 1257.06
8 1.524530 12.53 87.73 389.14 441.98
16 0.521437 8.65 14.91 23.91 327.37
32 0.320859 8.36 799.29 1231.67 1690.21
